team,player_number,left,top,success,game_index,rival,home
CB LA MATANZA,22,13.822299999999998,49.7854,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,22,12.482399999999998,48.399,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,28.490799999999993,18.4017,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,35.402,56.5915,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,7,31.0296,23.5693,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,12.0592,38.568,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,14,31.5938,74.237,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,7,33.9915,35.1649,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,10,11.636099999999999,42.4752,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,0,24.682699999999997,35.0389,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,19.5346,47.5167,True,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,8.3921,62.5154,False,1,TOSCONES CORRALEJO,False
CB LA MATANZA,23,31.100099999999998,79.9088,True,1,TOSCONES CORRALEJO,False
TOBARRA CB,28,35.402,55.3312,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,22,9.732,56.7176,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,34.6968,30.1233,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,5,30.2539,80.4129,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,30.3949,82.8077,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,31.5233,79.0265,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,22,12.1298,54.953,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,13.6107,50.0375,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,31.5938,21.8048,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,13.9633,50.1636,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,31,11.424499999999995,47.1386,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,11.283500000000004,92.5127,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,33.3568,81.9254,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,26,7.4048,53.0624,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,9.520499999999998,53.3145,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,14.527500000000003,27.7286,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,22,7.052199999999999,47.2647,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,33.3568,21.1746,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,26,32.3695,78.9005,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,34.2031,24.5776,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,26,31.6643,15.8809,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,11.4951,29.2411,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,23.6248,53.8187,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,31,12.975999999999999,52.4323,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,34.203100000000006,65.5403,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,5,16.1495,51.4239,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,9.873099999999994,47.5167,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,15.5148,52.0541,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,14.1749,26.4682,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,10.7898,49.7854,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,11.2835,60.4988,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,29.1961,87.7232,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,13.3286,47.0126,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,21,12.0592,49.9115,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,9.026799999999994,56.7176,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,22,32.7221,21.0485,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,15.7969,49.4073,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,91,23.8364,32.7702,False,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,10,12.4824,49.1552,True,1,CESUR DISTRITO OLIMPICO,True
TOBARRA CB,28,11.706599999999995,48.0209,False,1,CESUR DISTRITO OLIMPICO,True
